id,nuts2,nuts2_method
DE_700,DEE0,inside
DE_701,DE21,inside
DE_702,DE14,inside
DE_703,DEE0,inside
DE_704,DE40,inside
DE_705,DEA2,inside
DE_706,DE73,inside
DE_707,DEA4,inside
DE_708,DE11,inside
DE_709,DE26,inside
DE_71,DEA5,inside
DE_710,DE27,inside
DE_711,DE22,inside
DE_712,DEA2,inside
DE_713,DE40,inside
DE_714,DE23,inside
DE_715,DE73,inside
DE_716,DEF0,inside
DE_717,DE27,inside
DE_718,DE60,inside
DE_719,DE71,inside
DE_72,DED2,inside
DE_720,DEA5,inside
DE_721,DE91,inside
DE_722,DE27,inside
DE_723,DE11,inside
DE_724,DEE0,inside
DE_725,DE80,inside
DE_726,DE71,inside
DE_727,DEB3,inside
DE_728,DEE0,inside
DE_729,DE14,inside
DE_73,DE73,inside
DE_730,DEF0,inside
DE_731,DEA1,inside
DE_732,DEB3,inside
DE_733,DEF0,inside
DE_734,DEF0,inside
DE_735,DE60,inside
DE_736,DEF0,inside
DE_737,DEA1,inside
DE_738,DE26,inside
DE_739,DED2,inside
DE_74,DEF0,inside
DE_740,DE14,inside
DE_741,DE21,inside
DE_742,DE27,inside
DE_743,DEA1,inside
DE_744,DE21,inside
DE_745,DE30,inside
DE_746,DEA5,inside
DE_747,DE21,inside
DE_748,DE21,inside
DE_749,DE91,inside
DE_75,DE92,inside
DE_750,DE21,inside
DE_751,DED2,inside
DE_752,DE21,inside
DE_753,DED2,inside
DE_754,DED2,inside
DE_755,DE21,inside
DE_756,DE21,inside
DE_757,DE21,inside
DE_758,DE21,inside
DE_759,DE21,inside
DE_76,DE21,inside
DE_760,DEF0,inside
DE_761,DEB3,inside
DE_762,DE94,inside
DE_763,DEA4,inside
DE_764,DEE0,inside
DE_765,DEA1,inside
DE_766,DE21,inside
DE_767,DE21,inside
DE_768,DE71,inside
DE_769,DE26,inside
DE_77,DEB2,inside
DE_770,DE26,inside
DE_771,DEB3,inside
DE_772,DE71,inside
DE_773,DE60,inside
DE_774,DEA1,inside
DE_775,DEG0,inside
DE_776,DEA1,inside
DE_777,DE22,inside
DE_778,DE21,inside
DE_779,DEA5,inside
DE_78,DEA3,inside
DE_780,DE14,inside
DE_781,DE25,inside
DE_782,DEA1,inside
DE_783,DEA1,inside
DE_784,DEA4,inside
DE_785,DEF0,inside
DE_786,DE71,inside
DE_787,DE11,inside
DE_788,DEE0,inside
DE_789,DE24,inside
DE_79,DEA3,inside
DE_790,DE71,inside
DE_791,DE24,inside
DE_793,DEA1,inside
DE_794,DEA1,inside
DE_795,DE21,inside
DE_796,DE27,inside
DE_797,DE13,inside
DE_798,DEF0,inside
DE_799,DEB3,inside
DE_8,DE21,inside
DE_80,DE14,inside
DE_800,DEA1,inside
DE_801,DE71,inside
DE_802,DE30,inside
DE_804,DE21,inside
DE_805,DE40,inside
DE_806,DEA2,inside
DE_807,DE21,inside
DE_808,DEF0,inside
DE_809,DEA1,inside
DE_81,DE40,inside
DE_810,DEA1,inside
DE_811,DED4,inside
DE_812,DE30,inside
DE_813,DED2,inside
DE_814,DE21,inside
DE_815,DEA5,inside
DE_816,DEF0,inside
DE_817,DE12,inside
DE_818,DE30,inside
DE_819,DEA2,inside
DE_82,DE11,inside
DE_820,DED2,inside
DE_821,DE40,inside
DE_822,DEA5,inside
DE_823,DE40,inside
DE_824,DEA2,inside
DE_825,DE80,inside
DE_826,DEA1,inside
DE_827,DEF0,nearest_5km
DE_828,DEA2,inside
DE_829,DEA1,inside
DE_83,DEE0,inside
DE_830,DE50,inside
DE_831,DE26,inside
DE_832,DEA1,inside
DE_833,DEA1,inside
DE_834,DEF0,inside
DE_835,DEA2,inside
DE_836,DE11,inside
DE_837,DE26,inside
DE_838,DEC0,inside
DE_839,DEC0,inside
DE_84,DE26,inside
DE_840,DEC0,inside
DE_841,DEB3,inside
DE_842,DEA3,inside
DE_843,DEF0,inside
DE_844,DE60,inside
DE_845,DEC0,inside
DE_846,DE93,inside
DE_847,DEB3,inside
DE_848,DED4,inside
DE_849,DE21,inside
DE_85,DE12,inside
DE_850,DE60,inside
DE_851,DEC0,inside
DE_852,DEC0,inside
DE_853,DEA2,inside
DE_854,DEA3,inside
DE_855,DEC0,inside
DE_856,DE21,inside
DE_857,DE12,inside
DE_858,DEA1,inside
DE_859,DE40,inside
DE_86,DEA3,inside
DE_860,DEA2,inside
DE_861,DE40,inside
DE_862,DEA4,inside
DE_863,DEA1,inside
DE_864,DEE0,inside
DE_865,DE40,inside
DE_866,DE40,inside
DE_867,DE11,inside
DE_868,DEA1,inside
DE_869,DE30,inside
DE_87,DEA5,inside
DE_870,DEG0,inside
DE_871,DE80,inside
DE_872,DEA4,inside
DE_873,DEA2,inside
DE_874,DEE0,inside
DE_875,DED2,inside
DE_876,DE94,inside
DE_877,DE26,inside
DE_878,DEA1,inside
DE_879,DE93,inside
DE_88,DEA3,inside
DE_880,DEA1,inside
DE_881,DEA1,inside
DE_882,DEA1,inside
DE_883,DEA1,inside
DE_884,DE71,inside
DE_885,DE92,inside
DE_886,DEA2,inside
DE_887,DE60,inside
DE_888,DE27,inside
DE_889,DEC0,inside
DE_89,DEA5,inside
DE_890,DEA4,inside
DE_891,DED4,inside
DE_892,DE27,inside
DE_893,DE71,inside
DE_894,DED4,inside
DE_895,DEE0,inside
DE_896,DEF0,inside
DE_897,DE40,inside
DE_898,DEA1,inside
DE_899,DEA1,inside
DE_9,DE21,inside
DE_90,DEA4,inside
DE_900,DED4,inside
DE_901,DEG0,inside
DE_902,DEG0,inside
DE_903,DE40,inside
DE_904,DEG0,inside
DE_905,DE12,inside
DE_906,DEA1,inside
DE_907,DE92,inside
DE_908,DED2,inside
DE_909,DE24,inside
DE_91,DE72,inside
DE_910,DE71,inside
DE_911,DE71,inside
DE_912,DE71,inside
DE_913,DEG0,inside
DE_914,DEA2,inside
DE_915,DEG0,inside
DE_916,DED4,inside
DE_917,DEA5,inside
DE_918,DE71,inside
DE_919,DEA5,inside
DE_92,DE71,inside
DE_920,DE26,inside
DE_921,DED4,inside
DE_922,DEA1,inside
DE_923,DEF0,inside
DE_924,DE94,inside
DE_925,DE92,inside
DE_926,DEB1,inside
DE_927,DE94,inside
DE_928,DE23,inside
DE_929,DE94,inside
DE_93,DEA2,inside
DE_930,DE91,inside
DE_931,DE23,inside
DE_932,DE26,inside
DE_933,DE40,inside
DE_934,DE91,inside
DE_935,DE22,inside
DE_936,DE21,inside
DE_937,DE60,inside
DE_938,DE27,inside
DE_939,DE91,inside
DE_94,DE26,inside
DE_940,DE71,inside
DE_941,CH03,inside
DE_942,DEA1,inside
DE_943,DE40,inside
DE_944,DEE0,inside
DE_945,DE27,inside
DE_946,DE94,inside
DE_947,DE71,inside
DE_948,DE71,inside
DE_949,DE94,inside
DE_95,DE12,inside
DE_950,DEA1,inside
DE_951,DE60,inside
DE_952,DEF0,inside
DE_953,DEA3,inside
DE_954,DE73,inside
DE_956,DE13,inside
DE_958,DE73,inside
DE_959,DE73,inside
DE_96,AT33,inside
DE_960,DE73,inside
DE_961,DEE0,inside
DE_962,DEA4,inside
DE_963,DE21,inside
DE_964,DEG0,inside
DE_965,DEA3,inside
DE_966,DEA5,inside
DE_967,DE21,inside
DE_968,DE13,inside
DE_969,DE94,nearest_5km
DE_97,DEA3,inside
DE_970,DEA5,inside
DE_971,DE11,inside
DE_972,DE73,inside
DE_973,DEG0,inside
DE_974,DE94,inside
DE_975,DE71,inside
DE_976,DEA2,inside
DE_977,DEG0,inside
DE_978,DEE0,inside
DE_979,DE25,inside
DE_98,DEA5,inside
DE_980,DEA2,inside
DE_981,DE50,inside
DE_982,DEA2,inside
DE_983,DED4,inside
DE_984,DEA2,inside
DE_985,DEA1,inside
DE_986,DEA5,inside
DE_987,DE21,inside
DE_988,DEG0,inside
DE_989,DED2,inside
DE_99,DE14,inside
DE_990,DE40,inside
DE_991,DEA1,inside
DE_992,DED5,inside
DE_993,DEA1,inside
DE_994,DE92,inside
DE_995,DE94,inside
DE_996,DE27,inside
DE_997,DE12,inside
DE_998,DE92,inside
DE_999,DE94,inside
DK_1,DK01,inside
DK_10,DK04,inside
DK_100,DK03,inside
DK_101,DK03,inside
DK_102,DK01,inside
DK_103,DK05,inside
DK_104,DK04,inside
DK_105,DK04,inside
DK_106,DK04,inside
DK_107,DK03,inside
DK_108,DK04,inside
DK_109,,inside
DK_11,DK01,inside
DK_110,,inside
DK_111,DK05,inside
DK_112,DK03,inside
DK_113,DK03,inside
DK_114,DK03,inside
DK_115,DK03,inside
DK_116,DK03,inside
DK_117,DK03,inside
DK_118,DK03,inside
DK_119,DK03,inside
DK_12,DK01,inside
DK_120,DK03,inside
DK_121,DK03,inside
DK_122,DK03,inside
DK_123,DK03,inside
DK_124,DK03,nearest_5km
DK_125,DK03,inside
DK_126,DK03,inside
DK_127,DK03,inside
DK_128,DK03,inside
DK_129,DK03,inside
DK_13,DK02,inside
DK_130,DK03,inside
DK_131,DK03,inside
DK_132,DK03,inside
DK_133,DK03,inside
DK_134,DK03,inside
DK_135,DK04,inside
DK_136,DK03,inside
DK_137,DK03,inside
DK_138,DK04,inside
DK_139,DK04,inside
DK_14,DK01,inside
DK_140,DK05,inside
DK_141,DK04,inside
DK_142,DK03,inside
DK_143,DK03,inside
DK_144,DK03,inside
DK_145,DK03,inside
DK_146,DK02,inside
DK_147,DK04,inside
DK_148,DK05,inside
DK_149,DK04,inside
DK_15,DK01,inside
DK_150,DK04,inside
DK_151,DK02,inside
DK_152,DK02,inside
DK_153,DK03,inside
DK_154,DK04,inside
DK_155,DK04,inside
DK_156,DK03,inside
DK_157,DK02,inside
DK_158,DK02,inside
DK_159,DK01,inside
DK_16,DK04,inside
DK_160,DK01,inside
DK_161,DK01,inside
DK_162,DK01,inside
DK_163,DK04,inside
DK_164,DK02,inside
DK_165,DK03,inside
DK_166,DK05,inside
DK_167,DK05,inside
DK_168,DK03,inside
DK_169,DK04,inside
DK_17,DK04,inside
DK_170,DK04,inside
DK_171,DK04,inside
DK_172,DK04,inside
DK_173,DK04,inside
DK_174,DK03,inside
DK_175,DK03,inside
DK_176,DK03,inside
DK_177,DK05,nearest_5km
DK_178,DK03,inside
DK_179,DK03,inside
DK_18,DK03,inside
DK_180,DK04,inside
DK_181,DK03,inside
DK_182,DK03,inside
DK_183,DK05,inside
DK_184,DK04,inside
DK_185,DK03,inside
DK_186,DK03,inside
DK_187,DK03,inside
DK_188,DK05,inside
DK_189,DK05,inside
DK_19,DK03,inside
DK_190,DK01,inside
DK_191,DK01,inside
DK_192,DK05,inside
DK_193,DK05,inside
DK_194,DK05,inside
DK_195,DK05,inside
DK_196,DK01,inside
DK_197,DK04,inside
DK_198,DK04,inside
DK_199,DK04,inside
DK_2,DK01,inside
DK_20,DK04,inside
DK_200,DK03,inside
DK_201,DK03,inside
DK_202,DK04,inside
DK_202197,DK01,nearest_5km
DK_202591,DK05,inside
DK_202613,DK03,inside
DK_202700,DK03,nearest_5km
DK_202826,DK02,inside
DK_202828,DK03,inside
DK_202911,DK05,inside
DK_202996,DK03,inside
DK_203,DK04,inside
DK_203364,DK01,inside
DK_203614,DK03,inside
DK_203845,DK03,inside
DK_203937,DK04,inside
DK_204,DK02,inside
DK_204108,DK02,inside
DK_204462,DK04,inside
DK_205,DK02,inside
DK_205514,DK02,inside
DK_205515,DK02,inside
DK_205550,DK05,inside
DK_205619,DK04,inside
DK_205625,DK03,inside
DK_205663,DK05,inside
DK_205991,DK03,inside
DK_206,DK02,inside
DK_206008,DK01,inside
DK_206031,DK04,inside
DK_207,,inside
DK_207003,DK01,inside
DK_208,DK02,inside
DK_208984,DK01,inside
DK_209,DK02,inside
DK_209028,DK03,inside
DK_21,DK05,inside
DK_210,DK01,inside
DK_210419,DK04,inside
DK_210839,DK04,inside
DK_211,DK02,inside
DK_212,DK01,inside
DK_212420,DK03,nearest_5km
DK_212680,DK04,inside
DK_212681,DK03,inside
DK_213,DK01,inside
DK_214,DK01,inside
DK_215,DK01,inside
DK_215720,DK04,inside
DK_216,DK01,inside
DK_216200,DK04,inside
DK_217,DK01,inside
DK_217120,DK03,inside
DK_218,DK01,inside
DK_219,DK02,inside
DK_219100,DK03,inside
DK_219160,DK03,inside
DK_219161,DK03,inside
DK_22,DK05,inside
DK_220,DK04,inside
DK_221,DK04,inside
DK_222,DK02,inside
DK_223,DK02,inside
DK_224,DK04,inside
DK_224203,DK01,inside
DK_225,DK03,inside
DK_226,DK02,inside
DK_227,DK04,inside
DK_227843,DK04,inside
DK_228,DK02,inside
DK_228061,DK01,inside
DK_228100,DK02,inside
DK_228102,DK01,inside
DK_228123,DK03,inside
DK_228381,DK03,inside
DK_229,DK01,inside
DK_23,DK05,inside
DK_230,DK01,inside
DK_231,DK05,nearest_5km
DK_231101,DK01,inside
DK_231303,DK02,inside
DK_231305,DK02,inside
DK_232,DK05,inside
DK_233,DK01,inside
DK_234,DK03,inside
DK_235,DK01,inside
DK_236,DK01,inside
DK_237,DK03,nearest_5km
DK_238,DK03,inside
DK_239,DK03,inside
DK_24,DK05,inside
DK_240,DK01,inside
DK_241,DK01,inside
DK_242,DK01,inside
DK_243,DK01,inside
DK_244,DK01,inside
DK_245,DK01,inside
DK_246,DK01,inside
DK_247,DK04,inside
DK_248,DK01,inside
DK_249,DK03,inside
DK_25,DK05,inside
DK_250,DK01,inside
DK_251,DK01,inside
DK_252,DK04,inside
DK_253,DK04,inside
DK_254,DK01,inside
DK_255,DK01,inside
DK_256,DK04,inside
DK_257,DK04,inside
DK_258,DK03,inside
DK_259,DK04,nearest_5km
DK_26,DK05,inside
DK_260,DK04,inside
DK_261,DK03,inside
DK_262,DK03,inside
DK_263,DK02,inside
DK_264,DK02,inside
DK_265,DK05,inside
DK_266,DK04,nearest_5km
DK_267,DK05,nearest_5km
DK_268,DK02,inside
DK_269,DK04,inside
DK_27,DK05,inside
DK_270,DK04,inside
DK_271,DK02,inside
DK_272,DK04,inside
DK_273,DK03,inside
DK_274,,inside
DK_275,DK05,nearest_5km
DK_276,,inside
DK_277,DK03,nearest_5km
DK_278,DK04,inside
DK_279,DK05,inside
DK_28,DK04,inside
DK_280,DK04,inside
DK_281,DK04,inside
DK_282,DK04,inside
DK_283,DK04,inside
DK_284,DK03,inside
DK_285,DK03,inside
DK_286,DK03,inside
DK_287,DK02,inside
DK_288,DK02,inside
DK_289,DK01,inside
DK_29,DK03,inside
DK_290,DK01,inside
DK_291,DK02,inside
DK_292,DK05,inside
DK_293,DK01,inside
DK_294,DK03,inside
DK_295,DK02,inside
DK_296,DK05,inside
DK_297,DK02,inside
DK_298,DK04,inside
DK_299,DK04,inside
DK_3,DK04,inside
DK_30,DK05,inside
DK_300,DK04,inside
DK_301,DK03,inside
DK_302,DK03,inside
DK_303,DK04,inside
DK_304,DK04,inside
DK_305,DK03,inside
DK_306,DK03,inside
DK_307,DK02,inside
DK_308,DK02,inside
DK_309,DK01,inside
DK_31,DK03,inside
DK_310,DK03,nearest_5km
DK_311,DK04,nearest_5km
DK_312,DK04,inside
DK_313,DK01,inside
DK_314,DK01,inside
DK_315,DK03,inside
DK_316,DK02,inside
DK_317,DK02,inside
DK_318,DK03,inside
DK_319,DK03,inside
DK_32,DK03,inside
DK_320,DK03,inside
DK_321,DK03,inside
DK_322,DK05,nearest_5km
DK_323,DK04,inside
DK_324,DK05,inside
DK_325,DK04,inside
DK_326,DK05,inside
DK_327,DK01,inside
DK_328,DK03,inside
DK_329,DK03,inside
DK_33,DK03,inside
DK_330,DK05,inside
DK_331,DK04,inside
DK_332,DK05,inside
DK_333,DK03,inside
DK_334,DK03,inside
DK_335,DK03,inside
DK_336,DK03,inside
DK_337,DK03,inside
DK_338,DK05,inside
DK_339,DK01,inside
DK_34,DK03,inside
DK_340,DK01,inside
DK_341,DK01,inside
DK_342,DK05,inside
DK_343,DK02,inside
DK_344,DK05,inside
DK_345,DK02,inside
DK_346,DK05,inside
DK_347,DK03,nearest_5km
DK_348,DK03,inside
DK_349,DK02,inside
DK_35,DK03,nearest_5km
DK_350,DK04,inside
DK_351,DK05,inside
DK_352,DK01,inside
DK_353,DK03,inside
DK_354,DK04,inside
DK_355,DK04,inside
DK_356,DK03,inside
DK_357,DK03,inside
DK_358,DK05,inside
DK_359,DK03,inside
DK_36,DK03,inside
DK_360,DK03,inside
DK_361,DK01,inside
DK_362,DK03,inside
DK_363,DK03,inside
DK_364,DK04,inside
DK_365,DK04,inside
DK_366,DK02,inside
DK_367,DK01,inside
DK_368,DK03,inside
DK_369,DK01,inside
DK_37,DK03,inside
DK_370,DK01,inside
DK_371,DK01,inside
DK_372,DK01,inside
DK_373,DK01,inside
DK_374,DK01,inside
DK_375,DK01,inside
DK_376,DK01,inside
DK_377,DK01,inside
DK_378,DK01,inside
DK_379,DK01,inside
DK_38,DK04,inside
DK_380,DK05,inside
DK_381,DK03,nearest_5km
DK_382,DK04,inside
DK_383,DK03,inside
DK_384,DK03,inside
DK_385,DK05,inside
DK_387,DK01,nearest_5km
DK_388,DK03,inside
DK_389,DK04,inside
DK_39,DK03,inside
DK_390,DK04,inside
DK_391,DK03,inside
DK_392,DK04,inside
DK_393,DK03,inside
DK_394,DK03,inside
DK_395,DK01,inside
DK_396,DK05,inside
DK_397,DK02,inside
DK_398,DK03,inside
DK_399,DK02,inside
DK_4,DK04,inside
DK_40,DK01,inside
DK_400,DK03,inside
DK_401,DK04,inside
DK_402,DK04,inside
DK_403,DK03,inside
DK_404,DK02,inside
DK_405,DK04,inside
DK_406,DK01,inside
DK_407,DK02,inside
DK_408,DK01,inside
DK_409,DK01,inside
DK_41,DK01,inside
DK_410,DK05,inside
DK_411,DK02,nearest_5km
DK_413,DK01,inside
DK_42,DK01,nearest_5km
DK_43,DK01,inside
DK_44,DK01,inside
DK_45,DK01,inside
DK_47,DK01,inside
DK_48,DK01,inside
DK_49,DK02,nearest_5km
DK_5,DK04,inside
DK_50,DK01,inside
DK_51,DK01,inside
DK_52,DK01,inside
DK_53,DK01,inside
DK_54,DK01,inside
DK_55,DK01,inside
DK_56,DK01,inside
DK_57,DK01,inside
DK_58,DK05,inside
DK_59,DK02,inside
DK_6,DK01,inside
DK_60,DK03,inside
DK_61,DK01,inside
DK_62,DK01,inside
DK_63,DK05,inside
DK_64,DK01,inside
DK_65,DK03,inside
DK_66,DK03,inside
DK_67,DK04,inside
DK_68,DK04,inside
DK_69,DK03,inside
DK_7,DK01,inside
DK_70,DK04,inside
DK_71,DK04,inside
DK_72,DK03,inside
DK_73,DK04,inside
DK_74,DK04,inside
DK_75,DK04,inside
DK_76,DK03,inside
DK_77,DK03,inside
DK_78,DK05,inside
DK_79,DK05,nearest_5km
DK_8,DK01,inside
DK_80,DK03,nearest_5km
DK_81,DK04,inside
DK_82,DK04,inside
DK_83,DK04,inside
DK_84,DK04,inside
DK_85,DK04,inside
DK_86,DK04,inside
DK_87,DK03,inside
DK_88,DK03,inside
DK_89,DK03,inside
DK_9,DK04,inside
DK_90,DK02,inside
DK_91,DK01,nearest_5km
DK_92,DK04,inside
DK_93,DK04,inside
DK_94,DK04,inside
DK_95,DK04,inside
DK_96,DK04,inside
DK_97,DK04,inside
DK_98,DK04,inside
DK_99,DK04,inside
EE_1,EE00,inside
EE_10,EE00,inside
EE_11,EE00,inside
EE_12,EE00,inside
EE_13,EE00,inside
EE_14,EE00,inside
EE_15,EE00,inside
EE_16,EE00,inside
EE_17,EE00,inside
EE_18,EE00,inside
EE_19,EE00,inside
EE_2,EE00,inside
EE_20,EE00,inside
EE_206191,EE00,inside
EE_206704,EE00,inside
EE_206916,EE00,inside
EE_206959,EE00,inside
EE_208969,EE00,inside
EE_21,EE00,inside
EE_217700,EE00,inside
EE_217762,EE00,inside
EE_22,EE00,inside
EE_224193,EE00,inside
EE_23,EE00,inside
EE_231284,EE00,inside
EE_232506,EE00,inside
EE_24,EE00,inside
EE_25,EE00,inside
EE_26,EE00,inside
EE_27,EE00,inside
EE_28,EE00,inside
EE_29,LV00,inside
EE_3,EE00,inside
EE_30,EE00,inside
EE_31,EE00,inside
EE_32,EE00,inside
EE_33,EE00,inside
EE_34,EE00,inside
EE_35,EE00,inside
EE_36,EE00,inside
EE_37,EE00,inside
EE_38,EE00,inside
EE_39,EE00,inside
EE_4,EE00,inside
EE_40,EE00,inside
EE_41,EE00,inside
EE_42,EE00,inside
EE_43,EE00,inside
EE_44,EE00,inside
EE_45,EE00,inside
EE_46,EE00,inside
EE_47,EE00,inside
EE_48,EE00,inside
EE_49,EE00,inside
EE_5,EE00,inside
EE_50,EE00,inside
EE_51,EE00,inside
EE_52,EE00,inside
EE_53,EE00,inside
EE_54,EE00,inside
EE_55,EE00,inside
EE_56,EE00,inside
EE_57,EE00,inside
EE_58,EE00,inside
EE_6,EE00,inside
EE_7,EE00,inside
EE_8,EE00,inside
EE_9,EE00,inside
ES_1,ES61,inside
ES_10,ES61,inside
ES_100,ES61,inside
ES_1000,ES43,inside
ES_1001,ES43,inside
ES_1002,ES43,inside
ES_1003,ES43,inside
ES_1004,ES43,inside
ES_1005,ES11,inside
ES_1006,ES11,inside
ES_1007,ES11,inside
ES_1008,ES11,inside
ES_1009,ES11,inside
ES_101,ES61,inside
ES_1010,ES11,inside
ES_1011,ES11,inside
ES_1012,ES11,inside
ES_1013,ES11,inside
ES_1014,ES11,inside
ES_1015,ES11,inside
ES_1016,ES11,inside
ES_1017,ES11,inside
ES_1018,ES23,inside
ES_1019,ES23,inside
ES_102,ES61,inside
ES_1020,ES30,inside
ES_1021,ES30,inside
ES_1022,ES30,inside
ES_1023,ES30,inside
ES_1024,ES30,inside
ES_1025,ES30,inside
ES_1026,ES30,inside
ES_1027,ES30,inside
ES_1028,ES30,inside
ES_1029,ES30,inside
ES_103,ES61,inside
ES_1030,ES42,inside
ES_1031,ES62,inside
ES_1032,ES62,inside
ES_1033,ES62,inside
ES_1034,ES62,inside
ES_1035,ES62,inside
ES_1036,ES21,inside
ES_1037,ES22,inside
ES_1038,ES21,inside
ES_1039,ES21,inside
ES_104,ES61,inside
ES_1040,ES21,nearest_5km
ES_1041,ES21,inside
ES_1042,ES21,nearest_5km
ES_1043,ES21,inside
ES_1044,ES21,inside
ES_1045,ES21,inside
ES_1046,ES21,inside
ES_1047,ES21,inside
ES_1048,ES21,inside
ES_1049,ES21,inside
ES_105,ES61,inside
ES_1050,ES21,inside
ES_1051,ES52,inside
ES_1052,ES51,inside
ES_1053,ES42,inside
ES_1054,ES61,nearest_5km
ES_1055,ES61,inside
ES_1056,ES22,inside
ES_1057,ES61,inside
ES_1058,ES61,inside
ES_1059,ES22,inside
ES_106,ES61,inside
ES_1060,ES61,inside
ES_1061,ES24,inside
ES_1062,ES41,inside
ES_107,ES61,inside
ES_108,ES61,inside
ES_1088,ES42,inside
ES_109,ES61,inside
ES_11,ES61,inside
ES_110,ES61,inside
ES_111,ES61,inside
ES_112,ES61,inside
ES_113,ES61,inside
ES_114,ES61,inside
ES_115,ES62,inside
ES_116,ES61,inside
ES_117,ES61,inside
ES_118,ES61,inside
ES_119,ES61,inside
ES_12,ES61,inside
ES_120,ES61,inside
ES_121,ES61,inside
ES_122,ES61,inside
ES_123,ES61,inside
ES_124,ES61,inside
ES_125,ES61,inside
ES_1251,ES12,inside
ES_126,ES61,inside
ES_12624391,ES52,inside
ES_12667697,ES24,inside
ES_127,ES61,inside
ES_128,ES61,inside
ES_129,ES61,inside
ES_13,ES61,inside
ES_130,ES61,inside
ES_131,ES61,inside
ES_132,ES61,inside
ES_133,ES61,inside
ES_134,ES61,inside
ES_135,ES61,inside
ES_136,ES61,inside
ES_137,ES61,inside
ES_138,ES61,inside
ES_139,ES61,inside
ES_14,ES61,nearest_5km
ES_140,ES61,inside
ES_14014245,ES61,inside
ES_141,ES61,inside
ES_142,ES61,inside
ES_143,ES61,inside
ES_144,ES61,inside
ES_145,ES61,inside
ES_14515134,ES61,inside
ES_146,ES61,inside
ES_147,ES61,inside
ES_148,ES61,inside
ES_149,ES61,inside
ES_15,ES61,inside
ES_150,ES43,inside
ES_1500,ES13,inside
ES_1501,ES61,inside
ES_1502,ES61,inside
ES_1503,ES61,inside
ES_1504,ES61,inside
ES_1505,ES42,inside
ES_1506,ES24,inside
ES_1507,ES41,inside
ES_1508,ES11,inside
ES_1509,ES53,inside
ES_151,ES43,inside
ES_1510,ES11,inside
ES_152,ES61,inside
ES_153,ES61,inside
ES_154,ES61,inside
ES_155,ES61,inside
ES_156,ES24,inside
ES_157,ES24,inside
ES_158,ES24,inside
ES_159,ES24,inside
ES_16,ES61,inside
ES_160,ES24,inside
ES_161,ES24,inside
ES_162,ES24,inside
ES_163,ES24,inside
ES_164,ES24,inside
ES_165,ES24,inside
ES_166,ES24,inside
ES_167,ES24,inside
ES_168,ES24,inside
ES_169,ES24,inside
ES_17,ES61,inside
ES_170,ES24,inside
ES_171,ES24,inside
ES_172,ES24,inside
ES_173,ES24,inside
ES_174,ES24,inside
ES_175,ES24,inside
ES_176,ES24,inside
ES_17674151,ES51,inside
ES_177,ES24,inside
ES_178,ES24,inside
ES_179,ES24,inside
ES_18,ES61,inside
ES_180,ES24,inside
ES_181,ES24,inside
ES_182,ES24,inside
ES_183,ES24,inside
ES_184,ES24,inside
ES_185,ES24,inside
ES_186,ES24,inside
ES_18668079,ES61,inside
ES_187,ES24,inside
ES_188,ES24,inside
ES_189,ES24,inside
ES_19,ES61,inside
ES_190,ES24,inside
ES_191,ES24,inside
ES_192,ES24,inside
ES_193,ES24,inside
ES_194,ES24,inside
ES_195,ES12,inside
ES_196,ES12,inside
ES_197,ES12,inside
ES_198,ES12,inside
ES_199,ES12,inside
ES_2,ES61,inside
ES_20,ES61,inside
ES_200,ES12,inside
ES_201,ES12,inside
ES_201498,ES43,inside
ES_201581,ES61,inside
ES_201760,ES41,inside
ES_201765,ES42,inside
ES_201766,ES11,inside
ES_201796,ES52,inside
ES_201834,ES62,inside
ES_201854,ES12,inside
ES_201855,ES61,inside
ES_201856,ES42,inside
ES_201858,ES51,inside
ES_201894,ES52,inside
ES_201910,ES51,inside
ES_201940,ES22,inside
ES_201942,ES42,inside
ES_201943,ES42,inside
ES_201944,ES52,inside
ES_201986,ES52,inside
ES_201993,ES52,inside
ES_202,ES12,inside
ES_202016,ES52,inside
ES_202021,ES52,inside
ES_202025,ES52,inside
ES_202054,ES52,inside
ES_202102,ES52,inside
ES_202106,ES52,inside
ES_202114,ES52,inside
ES_202143,ES11,inside
ES_202151,ES21,inside
ES_202153,ES11,inside
ES_202159,ES11,inside
ES_202171,ES21,inside
ES_202172,ES52,inside
ES_202173,ES52,inside
ES_202175,ES12,inside
ES_202176,ES11,inside
ES_202177,ES13,inside
ES_202179,ES52,inside
ES_202181,ES52,inside
ES_202200,ES52,inside
ES_202235,ES52,inside
ES_202255,ES52,inside
ES_202256,ES52,inside
ES_202258,ES52,inside
ES_202276,ES52,inside
ES_202305,ES52,inside
ES_202307,ES52,inside
ES_202337,ES11,inside
ES_202339,ES11,inside
ES_202373,ES52,inside
ES_202390,ES42,inside
ES_202432,ES42,inside
ES_202436,ES52,inside
ES_202441,ES52,inside
ES_202442,ES52,inside
ES_202465,ES30,inside
ES_202466,ES52,inside
ES_202470,ES52,inside
ES_202474,ES52,inside
ES_202476,ES11,inside
ES_202493,ES43,inside
ES_202494,ES43,inside
ES_202495,ES52,inside
ES_202496,ES52,inside
ES_202499,ES24,inside
ES_202522,ES52,inside
ES_202524,ES24,inside
ES_202531,ES24,inside
ES_202532,ES52,inside
ES_202536,ES51,inside
ES_202554,ES52,inside
ES_202561,ES30,inside
ES_202598,ES62,inside
ES_202604,ES52,inside
ES_202605,ES62,inside
ES_202615,ES13,inside
ES_202627,ES52,inside
