id,nuts2,nuts2_method
AT_92,AT12,inside
AT_93,AT22,inside
AT_94,AT12,inside
AT_95,AT12,inside
AT_96,AT21,inside
AT_97,AT22,inside
AT_98,AT22,inside
AT_99,AT22,inside
BE_1,BE10,inside
BE_10,BE33,inside
BE_100,BE21,inside
BE_101,BE21,inside
BE_102,BE21,inside
BE_103,BE32,inside
BE_104,BE32,inside
BE_105,BE33,inside
BE_106,BE33,inside
BE_107,BE33,inside
BE_108,BE33,inside
BE_109,BE33,inside
BE_11,BE23,inside
BE_110,BE33,inside
BE_111,BE33,inside
BE_112,BE33,inside
BE_113,BE33,inside
BE_114,BE33,inside
BE_115,BE33,inside
BE_116,BE33,inside
BE_117,BE33,inside
BE_118,BE33,inside
BE_119,BE33,inside
BE_12,BE23,inside
BE_120,BE21,inside
BE_121,BE21,inside
BE_122,BE21,inside
BE_123,BE21,inside
BE_124,BE21,inside
BE_125,BE32,inside
BE_126,BE21,inside
BE_127,BE21,inside
BE_128,BE21,inside
BE_129,BE21,inside
BE_13,BE23,inside
BE_130,BE21,inside
BE_131,BE21,inside
BE_132,BE23,inside
BE_133,BE25,inside
BE_134,BE25,inside
BE_135,BE32,inside
BE_136,BE23,inside
BE_137,BE25,inside
BE_138,BE25,inside
BE_139,BE25,inside
BE_14,BE23,inside
BE_140,BE25,inside
BE_141,BE25,inside
BE_142,BE21,inside
BE_143,BE23,inside
BE_144,BE25,inside
BE_145,BE22,inside
BE_146,BE33,inside
BE_147,BE23,inside
BE_148,BE21,inside
BE_149,BE33,inside
BE_15,BE23,inside
BE_150,BE10,inside
BE_151,BE31,inside
BE_152,BE21,inside
BE_153,BE23,inside
BE_154,BE21,inside
BE_155,BE24,inside
BE_156,BE23,inside
BE_157,BE21,inside
BE_158,BE10,inside
BE_159,BE32,inside
BE_16,BE25,inside
BE_160,BE24,inside
BE_161,BE32,inside
BE_162,BE23,inside
BE_163,BE22,inside
BE_164,BE33,inside
BE_165,BE21,inside
BE_166,BE35,inside
BE_167,BE32,inside
BE_168,BE22,inside
BE_169,BE23,inside
BE_17,BE21,inside
BE_170,BE22,inside
BE_171,BE23,inside
BE_172,BE24,inside
BE_173,BE22,inside
BE_174,BE32,inside
BE_175,BE21,inside
BE_176,BE21,inside
BE_177,BE21,inside
BE_178,BE32,inside
BE_179,BE23,inside
BE_18,BE35,inside
BE_180,BE32,inside
BE_181,BE32,inside
BE_182,BE35,inside
BE_183,BE33,inside
BE_184,BE32,inside
BE_185,BE21,inside
BE_186,BE32,inside
BE_187,BE23,inside
BE_188,BE33,inside
BE_189,BE32,inside
BE_19,BE23,inside
BE_190,BE23,inside
